,TICKER_YEAR,TICKER,YEAR,ACCOCI,ASSETS,ASSETSC,ASSETSNC,CASHNEQ,DEBT,EQUITY,LIABILITIES,LIABILITIESC,LIABILITIESNC,CAPEX,DEPAMOR,NCF,NCFF,NCFI,NCFO,NCFX,PRICE,SHARESBAS,DPS,EBIT,EPS,EPSDIL,INTEXP,NETINC,NETINCCMN,NETINCDIS,PREFDIVIS,REVENUE,SHARESWA,SHARESWADIL,TAXEXP,ASSETSAVG,ASSETTURNOVER,BVPS,CURRENTRATIO,DE,DILUTIONRATIO,DIVYIELD,EBITDA,EBITDAMARGIN,EBT,EPSDILGROWTH1YR,EPSGROWTH1YR,EQUITYAVG,FCF,FCFPS,INTERESTBURDEN,LEVERAGERATIO,MARKETCAP,NCFOGROWTH1YR,NETINCGROWTH1YR,NETMARGIN,PAYOUTRATIO,PB,PE,PE1,PS,PS1,REVENUEGROWTH1YR,ROA,ROE,ROS,SHARESWAGROWTH1YR,SPS,TAXEFFICIENCY,WORKINGCAPITAL
0,A_2004,A,2004,0.03835966169140896,7144000000.0,0.24273865712080117,-0.2427356814787781,0.21167769715487084,-0.21420642141455293,0.04542545000490128,-0.03869744597546221,0.016147238707765854,-0.05484993054324422,0.04291863004241746,-0.006056935776798455,0.08758710690963561,0.05648008463434311,0.06131250556387215,-0.03244979340674531,0.001984939338608602,-5.676845113085667e-09,0.015109258261909855,-6.861938922437093e-11,-0.06298712283835325,-2.586702642378531e-10,-2.5241613791793657e-10,-0.010346241881154883,-0.024401110386548956,-0.024286764376230847,0.03293948559129945,-0.00019277303167517426,-0.31803653612141647,0.014999459958378293,0.014534715166650246,-0.02823977057064942,-0.02310593505503289,-1.3816303489504747e-10,-1.1404341136420988e-09,-2.1764493765983033e-10,-6.131161585145234e-11,-7.472475042395252e-11,-1.6036044000765949e-12,-0.06904405861515173,3.860471934916972e-10,-0.052640880957198384,-2.0091107638349472e-10,-701.9673202183728,0.019461859433129947,0.010468836635672135,-1.805426138800591e-10,-4.4525949328418887e-11,-2.2291685111112382e-10,-0.06749564823171506,-7.768435033022208e-10,-3.184249165251805e-10,4.3550285010523255e-10,-46.78532428813209,-4.584412238709246e-11,-2.441394035402423e-09,-16045.13341289624,-6.713590524302163e-09,-6.526228832371355e-09,-5.05690620539605e-10,-1.1706442510718953e-11,-1.5001170925984516e-11,4.0500849470141034e-10,-6.095817361092559e-13,-3.280112304264351e-09,-3.103255704648713e-11,0.22658938565949827
1,A_2006,A,2006,0.020031680763861425,7369000000.0,0.127314899236112,-0.12688051849298543,0.4125796370641675,-0.010558576466573821,0.041088125767231753,-0.0339316178568736,-0.02308086207397625,-0.010855999379816017,0.05218186911951592,-0.0126471566838059,-0.0066267374660588275,-0.28962718196576553,0.3209603250445632,-0.040144232150400985,0.0019250927201977049,-4.3496725386191064e-09,0.00261738628880695,-6.858978638173747e-11,0.34791977797799084,6.759510339478626e-10,6.605320184025223e-10,-0.0009782284395633365,0.37275184578381626,0.3728661424645355,-0.0009346910701624921,-0.00019268986815848955,-0.2805080522216409,0.005901235234389977,0.005814306654939226,-0.023853839366262106,0.092265333075081,-1.4616617072184766e-10,-9.600099243135545e-10,-2.365122972674854e-10,-6.301841908656334e-11,-7.778531662505394e-11,-1.602912594899685e-12,0.3352726212941849,4.655340742240243e-10,0.34889800641755414,1.3933238871122886e-09,-701.6644870328939,0.09183671526794496,0.01203763696911496,-1.5497044317252057e-10,-5.1421098032866615e-11,-2.398371628256104e-10,0.20419115702779678,-8.327293446541264e-11,1.0834043219089716e-09,5.142244640000597e-10,-46.76514080051857,1.831175942041863e-11,-6.457661234961779e-09,-16038.211439900699,-6.687405626666605e-09,-6.4764357383987625e-09,-4.998861380644331e-10,3.820381805612034e-11,8.36712228591074e-11,4.863588560812945e-10,-2.0873731909693963e-11,-3.032709260891032e-09,-2.014565009295968e-11,0.15039372943349402
2,A_2007,A,2007,0.07010045158889965,7554000000.0,0.07634444785388378,-0.07547884812056882,0.3432467327794083,0.06225582764556231,-0.025645297690659374,0.03323012462262653,-0.011544771874431314,0.04476965516226039,0.030377177949685537,-0.01041674677755525,-0.06922486694707798,-0.09260147461015596,0.01683792791084497,0.0021505155345954707,0.004129017178229253,-4.298550685991764e-09,-0.0016478199033017407,2.0414300729078202e-10,-0.02177047967276388,-1.502824209074734e-10,-1.492541308080682e-10,0.0017092808918683592,0.008471324102325234,0.008585571474726605,-0.000934287838466995,-0.00019260674051907692,-0.23744935958532332,-0.00040654282970755545,-0.0002613223553139671,-0.03195108466695749,-0.0036182266070936553,-1.3385657471085331e-10,-1.0278956242456553e-09,-2.9326557379890583e-10,-2.45163023673565e-11,-8.013197694043153e-11,5.798137662159004e-12,-0.032187226450319156,3.893813271267113e-10,-0.02347976056463226,-1.4143626737196774e-10,-701.3617844947354,0.014053205584988626,0.032527693484281,-8.349704909636542e-11,-6.779415707660604e-11,-2.2915275551944176e-10,0.11626600321239344,2.6695883502045224e-11,-2.6005787032864713e-10,4.3938263467078955e-10,-46.74496602002239,6.039693337191532e-11,-4.096057683774444e-09,-16031.29245308214,-6.7334552667082495e-09,-6.537543241029372e-09,-4.96109920477026e-10,-7.729937205697754e-12,-6.083070300939029e-12,4.101690389187147e-10,-1.493028564211242e-11,-2.775444587963644e-09,-2.6091841804424932e-11,0.08788718872828533
3,A_2008,A,2008,-0.009320777648271238,7007000000.0,0.04467077396787039,-0.043374141274992506,0.3140629118399748,0.0893388494684475,-0.08836087276431476,0.09637383393833021,-0.04178289402789667,0.13815148889257484,0.02917393131019973,-0.007000362288155548,-0.07158491165620531,-0.07334586881086363,0.0202269343131716,-0.018179374906285503,-0.0005456374939486238,-6.005968825663069e-09,-0.0017699859584899419,-6.853061900352707e-11,0.011407177472721408,-9.199642955545697e-11,-9.006100589106737e-11,0.007221017344163928,0.022946639385635056,0.02306083747099051,-0.0009338847807282258,-0.00019252364874145866,-0.13050494020245973,-0.0007363259117245877,-0.0010373296940724766,-0.018760479257077564,0.09423133481075163,-1.214859498324847e-10,-1.1425848773835215e-09,-2.4379491390910477e-10,4.6799381683534787e-11,-7.059098862014644e-11,-1.6015298797646242e-12,0.004406815184565843,3.9412371822372265e-10,0.004186160128557492,-9.481524269381958e-12,-701.0592125427096,-0.009536350129619175,0.010994556403914224,-1.1902311061383674e-10,-6.026459158433871e-11,-1.5812285715031372e-10,-0.6363578719614731,-7.460464700781531e-11,-1.4084793773616748e-10,4.407457410910929e-10,-46.72479994339143,-7.998419059478812e-11,-5.414724347198945e-09,-16024.376451162401,-6.882209571939611e-09,-6.690092641816579e-09,-4.98468605856937e-10,-6.020851521656397e-12,2.0994740306977756e-12,4.145974443895171e-10,-1.479312230176347e-11,-2.324465629856807e-09,-3.073272175473843e-11,0.08645163787192375
4,A_2009,A,2009,-0.00822827838508303,7612000000.0,0.11109268594961724,-0.10936520624754725,0.4192211217004757,0.16779724122013467,-0.12310342547456493,0.1315443361907831,-0.08396295765374925,0.21550205703105008,0.032448563092640284,-0.01438838122822806,0.12959583584295586,0.12341017485854328,0.07529749836811794,-0.07241751514463082,0.003046754268661779,-5.9187134156313805e-09,-0.007435623966886927,-6.850105445693366e-11,-0.1099258325455448,-3.762471419672866e-10,-3.686064388364997e-10,0.00123229394968586,-0.07999420935497116,-0.07988006053539885,-0.0009334818968711384,-0.00019244059281016383,-0.36545048104859823,-0.007064451167729309,-0.00850654797922832,-0.03116391714025952,-0.047257476561767375,-1.4810912254070746e-10,-1.2017567929280704e-09,-1.2161574043122795e-10,6.522394458642167e-11,-8.498574169943378e-11,-1.6008389695490226e-12,-0.12431421377377289,3.733480606817741e-10,-0.11115812649523069,-1.7443015435571376e-10,-700.7567711224488,-0.1118953358516605,-0.03996895205199055,-2.5435744670934876e-10,-1.745053681390245e-10,-1.4167548871558506e-10,-0.6462091617383934,-1.0368793561009643e-10,-2.903330022000042e-10,4.225254513765023e-10,-46.70464256636667,-7.606081458710748e-11,-4.322812165655538e-08,-16017.463432886472,-6.824940074792644e-09,-6.635254570180789e-09,-5.369894080141202e-10,-1.992443664009305e-11,-3.228513958777618e-11,3.9402944700197105e-10,-9.715169611943643e-12,-2.8911721118094883e-09,-7.338063074769207e-10,0.19505361435533153
5,A_2010,A,2010,0.006992609922411916,9696000000.0,0.22714841138077912,-0.2249902705396679,0.3209369039923489,0.16692767242823525,-0.11942996145842644,0.12829863709668254,0.08657286614703949,0.041720536395355556,0.037354124038908615,-0.014821845406503404,0.006040788062863574,0.09906740575166528,-0.04397743572124764,-0.051911575060986176,0.002603581302416166,-5.575780378076398e-09,-0.017027737550962353,-6.84715026646744e-11,-0.041082692970390744,-1.6108992291835378e-10,-1.5654657544162267e-10,-0.000422953855350721,-0.0053443847184341114,-0.005230285143391397,-0.0009330791868207194,-0.00019235757270972805,-0.39224599311705366,-0.016708385796428325,-0.01753104859696722,-0.03531535439660591,-0.08373063812972514,-1.665472501401395e-10,-1.1935119190474234e-09,-3.7836067494699704e-10,4.797950404311012e-12,-1.1134528940611724e-10,-1.6001483573964993e-12,-0.055904538376894145,3.8441098008429337e-10,-0.04065973911504002,-2.3629943887564678e-09,-700.4544601794078,-0.1491659240242717,-0.014557451022077568,-1.8137275182034035e-10,-9.353531079112183e-11,-1.9630946524163477e-10,-0.523945105041288,3.5165927261296954e-11,-2.5317848962306004e-09,4.3620984120682306e-10,-46.68449388536306,-1.3783488902576838e-10,-5.225030072981037e-09,-16010.55339685507,-6.843848001896984e-09,-6.654472973978939e-09,-4.851872327511341e-10,-1.106664827188271e-11,-5.617093430718772e-12,4.060039801065431e-10,-3.2631685241849953e-12,-2.9725006648283e-09,-5.000957404513135e-11,0.14057351686113534
6,A_2011,A,2011,0.028869358445386184,9057000000.0,0.2059666631966342,-0.20337804700644652,0.2773426414259816,0.027597303027634967,0.023557151721601166,-0.01426089570182587,-0.028466937915328894,0.01420080991743583,0.03032035060003702,-0.00770560232242138,0.08545433471623992,-0.14986015415913703,0.2199430754324545,0.013210524497081405,0.001902188807884221,-5.067968731174789e-09,-0.014391422913007906,-6.844196362124703e-11,0.0011398967847662395,-4.1706782130712703e-11,-4.180149860455201e-11,-0.0008240722302224213,0.03588057798163792,0.03599462833339548,-0.0009326766505019876,-0.00019227458842469364,-0.22292890527221632,-0.014160785192082768,-0.014718343323237862,-0.03391660896664929,-0.011112453670308331,-1.4756334324341638e-10,-7.894631063171682e-10,-2.497578384338873e-10,-7.971929157968977e-11,-1.0321327083337475e-10,-1.5994580431784679e-12,-0.006565705537655175,3.8838145574835276e-10,0.001963969014988645,1.5086866105036386e-11,-700.1522796506017,-0.0031461951814983347,0.04353087509711839,-1.3911088741823704e-11,-8.210787364954572e-11,-2.6745608421454745e-10,-0.3452069394928359,4.0169043260211135e-11,-1.0000675370982933e-10,4.3996045214599766e-10,-46.66435389662908,-1.9250389470624675e-10,-5.635193287292068e-09,-16003.646341895672,-6.854315842059999e-09,-6.665570064616839e-09,-4.833834019523017e-10,-6.370497685315954e-12,-2.369372737259485e-12,4.095674761618613e-10,-3.55971107782379e-12,-2.4837604691554225e-09,-4.361494658839587e-11,0.23443157361441158
7,A_2012,A,2012,0.0055193488645227315,10536000000.0,0.030610354291233433,-0.02759144846178363,0.1111081587809762,0.010623363069623193,0.039337333043392264,-0.02961368110300422,-0.05152399556386661,0.02190508442204092,0.03065612486460383,-0.007055704851592407,-0.12309961381913424,0.03410880037358979,-0.1475264907734693,-0.009301299917247083,-6.973595306866022e-05,-5.741076045923742e-09,-0.019723009578575132,-3.99386332209238e-11,0.007213121178180293,-4.9791292683828286e-11,-4.595698124529643e-11,-0.0007288575313448824,0.033610845073320045,0.033724846223027655,-0.0009322742878399937,-0.00019219163993960963,-0.3019807785778069,-0.019421442093555903,-0.020387109919124936,-0.02566886636379486,-0.04231005033175361,-1.6504127251470268e-10,-7.476925569644814e-10,-3.521349168525652e-10,-1.0296540553308678e-10,-1.1980099916476774e-10,-8.076091429395184e-13,0.00015741632658788918,3.883833408280826e-10,0.007941978709525177,-2.270128663615092e-11,-699.8502294868584,0.018001675920415516,0.02135482494735673,-7.857160419657543e-11,-9.606241282963495e-11,-3.1709132972166553e-10,-0.5785509014033157,-4.556990657424387e-11,-1.3966279571835394e-10,4.388436892672705e-10,-46.64422259640623,-2.9261497808076483e-10,-6.0069267519748774e-09,-15996.74226668384,-6.893014633469543e-09,-6.703969106506374e-09,-5.034275300559133e-10,-8.035588269742412e-12,-7.913473641320716e-12,4.096155055695604e-10,-3.284651857391999e-12,-2.7161716127117124e-09,-6.517515896467884e-11,0.08213232323222391
8,A_2013,A,2013,0.02456354538549614,10686000000.0,0.0577469514631222,-0.05429794162410784,0.13834430979208234,0.03910520403802875,0.04235707899441593,-0.03220621551474423,-0.08117818334523433,0.04896674004794077,0.03098700167839675,-0.000797149604164743,0.01884269671062945,-0.014808424209696448,0.0537957410650718,-0.017995172962600864,-0.002407924158466359,-4.4028926594601995e-09,-0.021726869594378348,-2.5335946405343825e-11,-0.03179638388449697,-1.654048358904437e-10,-1.5964891693345968e-10,-0.00029748701775253635,-0.008038565481442689,-0.007924613512558937,-0.000931872098759821,-0.00019210872723903174,-0.3178186818337664,-0.020517515656912413,-0.0215828040170001,-0.023460331385301757,0.024700437118066132,-1.7188487373054963e-10,-6.701011262588795e-10,-2.9289465371597696e-10,-1.0533880667457785e-10,-1.2130604761236301e-10,-7.500294590705557e-13,-0.03259353348866176,3.8364481346911696e-10,-0.03149889686674445,-7.015548108209502e-11,-699.5483096294903,0.04583222310804391,0.012991828715795864,-9.72490292760608e-11,-1.0065288920658178e-10,-3.174379001697484e-10,-0.1935116390890228,-4.89324265596993e-11,-1.8763956032052614e-10,4.326940790262228e-10,-46.624099980951726,-2.2423564187599079e-10,-4.8630907683466015e-09,-15989.84116993255,-6.831365241088292e-09,-6.635500038903253e-09,-5.077324853040063e-10,-1.2886289582455946e-11,-1.7533904407978643e-11,4.038987870223954e-10,-5.439004497432892e-12,-2.723447895954071e-09,-7.288265660422247e-11,0.13892310905977848
9,AA_2008,AA,2008,-0.06774640658389071,37822000000.0,-0.1929048003810567,0.1967837286800197,-0.09178790689159493,0.0663023290024104,-0.14212517463327473,0.08403932467041697,-0.038540138360431964,0.12257423750359842,-0.04187262003268904,-0.0029671773870798557,-0.004095737719354274,0.07609691761890619,0.013250928487139199,-0.09311899262122023,-0.0005829566718828754,-8.851374025826228e-09,-0.03149968140238166,-5.037446888106003e-11,-0.09845240468613076,-3.6628227349451686e-10,-3.5865803739021403e-10,0.00045479257232134383,-0.07187144116979093,-0.07175753836051413,-0.0009314700831865855,-0.00019202585030752222,-0.24081724025603146,-0.030989702144002207,-0.03234937207447393,-0.027035756088661184,0.0754057443742363,-2.1381380263527796e-10,-1.7769237483756415e-09,-5.5411989893755e-10,-1.4781910220871884e-10,-1.893534105344598e-10,-6.790354370624462e-16,-0.10141958207321064,3.671185534913079e-10,-0.09890719725845212,-6.399571591366682e-11,-699.2465200222236,-0.047078967208371625,-0.13499161265390927,-4.322131507670498e-10,-1.6935875503642157e-10,-4.3768866950039427e-10,-1.5257958821356468,-5.907436553574834e-11,-1.7786760295303534e-10,4.2266619785617225e-10,-46.6039860467338,-5.00797012645967e-10,-5.409536899222461e-09,-15982.943050364887,-7.051149221251309e-09,-6.862408013416066e-09,-5.086250613051834e-10,-1.9200329052352925e-11,-3.0326824001983956e-11,3.912817233442246e-10,-4.7443149448078415e-12,-3.7045596912650565e-09,-1.4374241595961897e-10,-0.15436668689528188
