,TICKER_YEAR,TICKER,YEAR,ACCOCI,ASSETS,ASSETSC,ASSETSNC,CASHNEQ,DEBT,EQUITY,LIABILITIES,LIABILITIESC,LIABILITIESNC,CAPEX,DEPAMOR,NCF,NCFF,NCFI,NCFO,NCFX,PRICE,SHARESBAS,DPS,EBIT,EPS,EPSDIL,INTEXP,NETINC,NETINCCMN,NETINCDIS,PREFDIVIS,REVENUE,SHARESWA,SHARESWADIL,TAXEXP,ASSETSAVG,ASSETTURNOVER,BVPS,CURRENTRATIO,DE,DILUTIONRATIO,DIVYIELD,EBITDA,EBITDAMARGIN,EBT,EPSDILGROWTH1YR,EPSGROWTH1YR,EQUITYAVG,FCF,FCFPS,INTERESTBURDEN,LEVERAGERATIO,MARKETCAP,NCFOGROWTH1YR,NETINCGROWTH1YR,NETMARGIN,PAYOUTRATIO,PB,PE,PE1,PS,PS1,REVENUEGROWTH1YR,ROA,ROE,ROS,SHARESWAGROWTH1YR,SPS,TAXEFFICIENCY,WORKINGCAPITAL,kmeans,dpgmm,meanshift,svdkmeans
0,A_2004,A,2004,0.038260800295326185,7144000000.0,0.2430960471413825,-0.2428002938195136,0.21177540178840212,-0.2141564314031762,0.04526200579325474,-0.03816813847813172,0.016443286382045452,-0.054482353145623115,0.04298953681597726,-0.006062447938042847,0.08751059632415432,0.05649559045932824,0.06117201746526413,-0.03246842895182203,0.0019893275868712573,-5.67437453333093e-09,0.015109668958266197,-6.854816979373094e-11,-0.06295158075934182,-2.5985518016884334e-10,-2.617444456284429e-10,-0.010317041217507495,-0.024483437333578783,-0.024446210150094426,0.03288751065108761,-0.00019128762304069092,-0.31619424516001404,0.015005984968052137,0.014563625029153822,-0.028171103654399468,-0.022398246876928814,-1.3850129688845506e-10,-1.1554562936530102e-09,-2.1745977700813836e-10,-7.053780128909681e-11,-7.516606136244434e-11,-1.0952711802898961e-11,-0.06911034138859208,3.7345724643728577e-10,-0.05273084358493122,-2.099980074218911e-10,-696.540883724909,0.019366722251602356,0.010539287176367526,-1.8988421576873185e-10,-4.513464334183642e-11,-2.31935250377781e-10,-0.0676455044183839,-7.868476272670818e-10,-3.171247250485532e-10,4.2265685408911307e-10,-46.42482093317234,-5.968740272065879e-11,-2.3258475082059665e-09,-15921.497967077688,-6.664488217044486e-09,-6.4877011866922304e-09,-5.020541846013754e-10,-2.1121909814336728e-11,-1.5176247409139927e-11,3.9232497376331735e-10,-5.559371703165378e-13,-3.2943123172629445e-09,-3.12264617901947e-11,0.22665074365983906,7,3,0,6
1,A_2005,A,2005,0.02895141354044152,7256500000.0,0.1845749876932128,-0.18385127878629345,0.3138071449864445,-0.1107091426388942,0.04315472628730305,-0.03563581353866774,-0.0034265003286204627,-0.0320802967487957,0.047682643381834505,-0.009401171982079985,0.039675799634136574,-0.11924872751058295,0.19299253968151606,-0.036348897629525985,0.001958933209109053,-4.998581579383666e-09,0.008777950478232209,-6.851882554296306e-11,0.14571270085744542,2.1477716176028043e-10,2.0188520841305128e-10,-0.005558266514242235,0.1771875727112336,0.17722478395842367,0.015688058567242646,-0.00019120573621575907,-0.2969400931983256,0.01039734063583445,0.010147109896743514,-0.025936598223427046,0.036383331006298765,-1.425160861115167e-10,-1.0633859129027784e-09,-2.2691729633260229e-10,-7.135835825974386e-11,-7.667457570614547e-11,-1.0948023142024429e-11,0.1362152574139059,4.1374563267342914e-10,0.15117470455463655,5.994890415064345e-10,-696.2427069759241,0.05620737092553252,0.011351917282281007,-1.7682030210668063e-10,-4.8596838299894275e-11,-2.404161736984513e-10,0.07067417374170915,-4.3467268033795824e-10,3.9468791193481635e-10,4.625447188519339e-10,-46.40494729407423,-2.699686835496919e-11,-4.363688041911991e-09,-15914.682257333528,-6.649732281363713e-09,-6.460993207642885e-09,-4.99002222343969e-10,4.2281889840671954e-12,3.493131945667836e-11,4.335542602900423e-10,-1.0844370281075637e-11,-3.1677252685450302e-09,-2.5666701595404123e-11,0.1879994717858197,7,3,0,6
2,A_2006,A,2006,0.019926066969597308,7369000000.0,0.1278460491786625,-0.1266945678868573,0.41272496772164396,-0.010417682609085904,0.04111764404124807,-0.033173867813480966,-0.0226866118679436,-0.0103582947139354,0.05223181863884931,-0.012637493142269772,-0.006698292717125513,-0.2896274679591444,0.3207871503308394,-0.04010925564103697,0.0019294664904640027,-4.343304488832379e-09,0.0026402416436369512,-6.848949385394638e-11,0.3480073499621731,6.74922124669866e-10,6.513634382810643e-10,-0.0009446600181309637,0.3727018794247959,0.3727390747425137,-0.0009862245033082464,-0.0001911238844451188,-0.2782615405133383,0.005930091418291969,0.00586614186624735,-0.023769853769775282,0.0933825525965668,-1.464052855687862e-10,-9.740986076647537e-10,-2.3607849661097425e-10,-7.215114485275544e-11,-7.813423129442438e-11,-1.0943336488282127e-11,0.3352736265705421,4.527993204591043e-10,0.3488557883716507,1.384260358412604e-09,-695.9446578711195,0.09192883520443113,0.012140726748876464,-1.6415049158211745e-10,-5.195093546687968e-11,-2.4863146223184903e-10,0.20479331815112325,-9.325011525428807e-11,1.0847685086808766e-09,5.012093738406066e-10,-46.38508216252711,4.7024357119327284e-12,-6.339217080604566e-09,-15907.869465273274,-6.6353361863003646e-09,-6.435012308785317e-09,-4.960369408516963e-10,2.8804636119340708e-11,8.35093340572062e-11,4.735197925966131e-10,-2.0818617981231604e-11,-3.0449438710056904e-09,-2.0274734291860136e-11,0.15053064567370722,7,3,0,6
3,A_2007,A,2007,0.06999493651314757,7554000000.0,0.07687400816615875,-0.07529493761120798,0.3433916278434822,0.06239594943259377,-0.025617301099212064,0.0339857589296213,-0.011151460964682114,0.0452661259198987,0.030427269624814162,-0.01040720610225596,-0.06929642983495189,-0.09260163699683248,0.016665084079558398,0.0021850576233670427,0.004133389160071651,-4.292215880744295e-09,-0.0016251499890468856,2.042430288794379e-10,-0.021683352605257097,-1.5131210271166347e-10,-1.5841997357551198e-10,0.0017428005651894448,0.008421126427737818,0.008458305822802492,-0.000985802318161282,-0.0001910420677137639,-0.2352069853769495,-0.00037787380805083537,-0.00020968894318130343,-0.0318672553685341,-0.002504695116168687,-1.3409636086518269e-10,-1.041985481475301e-09,-2.9283390596346775e-10,-3.3645788193761714e-11,-8.048146239056654e-11,-3.538293090481875e-12,-0.03218674776241825,3.7665324249287297e-10,-0.0235223335883428,-1.5049603841196815e-10,-695.646736358165,0.014143821233365885,0.032630483223666885,-9.267436944309523e-11,-6.832438075748183e-11,-2.379449836536529e-10,0.11686202221213593,1.6722829924401657e-11,-2.586947770835245e-10,4.2637452544027e-10,-46.365225534720935,4.6791697343510206e-11,-3.977687684377363e-09,-15901.059589643635,-6.68143166632001e-09,-6.496160464801973e-09,-4.922640604857694e-10,-1.7125159896718562e-11,-6.244991836235644e-12,3.973367738646872e-10,-1.48752071656657e-11,-2.7876892469482198e-09,-2.6221376736947487e-11,0.08802345462068725,7,3,0,6
4,A_2008,A,2008,-0.00942619407085422,7007000000.0,0.04519874591804757,-0.04319226914330021,0.3142073716581945,0.0894781998225884,-0.08833439655301889,0.097127354187439,-0.04139052167992563,0.13864672671058614,0.029224165009717768,-0.006990944375275618,-0.07165648216110806,-0.07334590769702354,0.02005442111191405,-0.018145266871186297,-0.0005412672998007338,-5.99966723755759e-09,-0.0017475013296470235,-6.843086813965904e-11,0.011493859989780905,-9.30268830318468e-11,-9.922411196399199e-11,0.007254488305072841,0.022896210603521358,0.02293337408274909,-0.0009853803137442607,-0.0001909602860066946,-0.12826670035276067,-0.0007078438967784151,-0.0009858979172440024,-0.018676806137891445,0.0953411812346111,-1.217264066730648e-10,-1.156675904880818e-09,-2.4336537714171757e-10,3.7673134698833205e-11,-7.094104429602982e-11,-1.0933969198757683e-11,0.004406767736421541,3.8140229934074507e-10,0.004143232439935959,-1.8537539205534726e-11,-695.3489423784297,-0.009447237493445004,0.011097046341767449,-1.2819770354709096e-10,-6.079520108225347e-11,-1.6691301416862373e-10,-0.6357679899174347,-8.457357507895822e-11,-1.3948593732988803e-10,4.2774460919307117e-10,-46.34537740751965,-9.358533994309232e-11,-5.296428460900611e-09,-15894.252629204211,-6.83023178174648e-09,-6.648750491684079e-09,-4.946260809297167e-10,-1.541211663402849e-11,1.9375198200369235e-12,4.017719742940548e-10,-1.4738079257040092e-11,-2.336720326814955e-09,-3.0862707009643714e-11,0.08658725395019554,7,3,0,6
5,A_2009,A,2009,-0.008333596219801946,7612000000.0,0.11161907080507788,-0.10918537077552498,0.4193651466201711,0.1679358207785454,-0.1230784683418415,0.1322957440594661,-0.08357152313350891,0.215996062877445,0.03249893868522859,-0.014379085974016534,0.12952425774078707,0.1234102593667827,0.07512531554463704,-0.07238384079651887,0.0030511226758442585,-5.91244501728803e-09,-0.0074133244683918876,-6.840157410364035e-11,-0.10983959421293693,-3.7727836626247383e-10,-3.77766808874339e-10,0.0012657162338600356,-0.08004486903670648,-0.08000772146650237,-0.0009849584899798156,-0.00019087853930891774,-0.3632163724182558,-0.007036156004058075,-0.0084553176739363,-0.031080400081557782,-0.04615131224334479,-1.4835024944680806e-10,-1.2158489870851081e-09,-1.2118833297998234e-10,5.6100935345685856e-11,-8.533636704642099e-11,-1.0929288561258217e-11,-0.12431478690584286,3.6063330417111014e-10,-0.11120140853607052,-1.8348241474321238e-10,-695.051275879287,-0.11180772495260194,-0.03986676167697699,-2.635293128784645e-10,-1.750363630244526e-10,-1.5046357477436875e-10,-0.6456254114854865,-1.1365273987876684e-10,-2.8897209394501794e-10,4.0953129321634456e-10,-46.32553777678013,-8.965787825518631e-11,-4.3109899841516696e-08,-15887.448582739757,-6.773008065028866e-09,-6.593953018867984e-09,-5.331502159947302e-10,-2.9311745840224837e-11,-3.244712641581393e-11,3.812107683947138e-10,-9.660161978662193e-12,-2.9034368358523713e-09,-7.339367426432397e-10,0.1951885811528158,7,3,0,6
6,A_2010,A,2010,0.006887390610289949,9696000000.0,0.22767321040810856,-0.2248124700104177,0.32108049436063185,0.1670654818276711,-0.11940652210353435,0.1290479342613483,0.08696336357313914,0.04221331123754035,0.037404641393334666,-0.014812672707275838,0.005969202383175972,0.09906761354825512,-0.04414928841904854,-0.05187833403341149,0.0026079479233620355,-5.5695451421327185e-09,-0.017005623027850164,-6.837229260787679e-11,-0.040996898456471385,-1.6212191717952685e-10,-1.657042101037489e-10,-0.00038958021225551226,-0.005395275092022409,-0.0053581434240315825,-0.0009845368467906119,-0.00019079682760544652,-0.3900160125686845,-0.016680277328695488,-0.017480019599547446,-0.035231993279708884,-0.08262815295697523,-1.6678904649144e-10,-1.2076052762591764e-09,-3.779353950610958e-10,-4.32182218985144e-12,-1.1169648386993499e-10,-1.0924609927456307e-11,-0.055905636741061714,3.717028825690683e-10,-0.04070337519560868,-2.372042896149863e-09,-694.7537368079318,-0.14907981358806016,-0.01445555997136038,-1.905418918746004e-10,-9.406669063483548e-11,-2.0509548049751488e-10,-0.5233674814182467,2.5205245091773554e-11,-2.5304250794397468e-09,4.232226531916964e-10,-46.305706639033225,-1.5142786801339247e-10,-5.1068822873851734e-09,-15880.647448890732,-6.7919617428139254e-09,-6.61321199422657e-09,-4.813513714846054e-10,-2.0450003225481253e-11,-5.779112818189872e-12,3.9319208951885883e-10,-3.2081962820749496e-12,-2.9847754050745896e-09,-5.014045871216486e-11,0.14070783491083622,2,1,0,1
7,A_2011,A,2011,0.028764237590631944,9057000000.0,0.206489877661622,-0.20320227970417,0.27748579758974595,0.02773434290444624,0.02357907459856562,-0.013513707565819266,-0.028077376850237427,0.014692354722212862,0.030371009585154936,-0.00769655207455979,0.08538274147876515,-0.1498598231801773,0.21977155260839265,0.013243332570333971,0.001906553643321984,-5.061766630285707e-09,-0.014369493210412553,-6.834302364700013e-11,0.0012252478455279242,-4.2739545505650954e-11,-5.095639855027622e-11,-0.000790747192572069,0.035829457123829365,0.035866572896414387,-0.000984115384099349,-0.0001907151508813003,-0.22070304967037024,-0.014132863265050763,-0.0146675154701296,-0.033833403672950506,-0.010013644685330949,-1.4780580842000555e-10,-8.035576229814956e-10,-2.493346843636449e-10,-8.883582862432614e-11,-1.035650338601212e-10,-1.0919933296494211e-11,-0.006567328682383466,3.756800138533643e-10,0.001919979206977465,6.042110151837463e-12,-694.4563251031183,-0.003061583934682865,0.043632467061932766,-2.3077503330456227e-11,-8.263963802261491e-11,-2.762400288243945e-10,-0.34463543734169666,3.021248148721163e-11,-9.86480276963357e-11,4.269802306848692e-10,-46.28588399064323,-2.0609279001308197e-10,-5.517119489344464e-09,-15873.849226524331,-6.802475303926139e-09,-6.624349629181575e-09,-4.795508692849025e-10,-1.5749900057387207e-11,-2.531424626264169e-12,3.967623701268446e-10,-3.504774206625508e-12,-2.4960452147312885e-09,-4.374628034571479e-11,0.23456524344899515,7,1,0,1
8,A_2012,A,2012,0.00541432640194487,10536000000.0,0.031131985458874575,-0.027417712671780947,0.11125088108689793,0.010759634059755524,0.039357740741495895,-0.02886860032134908,-0.051135370127107636,0.022395400155608924,0.030706925349354226,-0.0070467769515452265,-0.1231712145946801,0.03410925442900722,-0.14769768397557753,-0.009268924432336192,-6.537290241079568e-05,-5.7349070527615655e-09,-0.01970126454172954,-3.983996311541661e-11,0.007298029151082962,-5.082482432090118e-11,-5.5109147133868e-11,-0.0006955810635269222,0.033559493938788064,0.0335965938227718,-0.000983694101828758,-0.00019063350912150524,-0.2997590447889664,-0.01939370655208613,-0.020336483046870867,-0.025585816774760947,-0.04121491457851145,-1.652844058970785e-10,-7.617882294821224e-10,-3.5171388684940685e-10,-1.1207870812489912e-10,-1.201533302009118e-10,-1.0124099783687668e-11,0.00015526885254457667,3.756885511797996e-10,0.007897635486154771,-3.174229270241915e-11,-694.1590407174124,0.01808478925046847,0.02145611806451224,-8.773529396875426e-11,-9.659456130342729e-11,-3.2587320384259807e-10,-0.5779855155694178,-5.5522349652640416e-11,-1.3830515979583738e-10,4.258704307709068e-10,-46.266069827967385,-3.0619979070637226e-10,-5.888926899903218e-09,-15867.053914355813,-6.8412197865704684e-09,-6.6627891881608076e-09,-4.995983238351474e-10,-1.7411039724591534e-11,-8.075557974002957e-12,3.968171806220325e-10,-3.229750336856716e-12,-2.7284663527508212e-09,-6.530694140212375e-11,0.08226534538401807,2,1,0,1
9,A_2013,A,2013,0.024458621249941144,10686000000.0,0.058267000597616685,-0.05412623563277785,0.1384865985866195,0.039240706777023286,0.042375972811888866,-0.031463240414182365,-0.08079049280458925,0.04945582767589518,0.03103794353180672,-0.0007883439484467973,0.018771088416713044,-0.01480784718366529,0.053624877233287294,-0.0179632297002858,-0.002403562891860481,-4.3967567467146006e-09,-0.02170530906861435,-2.5237545954899228e-11,-0.03171191863438681,-1.664391349386106e-10,-1.6879834942406652e-10,-0.0002642590841761289,-0.008090146685337002,-0.008053062683152923,-0.0009832729999016054,-0.00019055190231109364,-0.3156010667263457,-0.020489966345965168,-0.021532377962246226,-0.02337743738247248,0.02579190259374864,-1.7212867469961908e-10,-6.841979510334525e-10,-2.9247574603243837e-10,-1.1444887590992316e-10,-1.2165894610474443e-10,-1.0062537190699044e-11,-0.032596204841065235,3.7095667269567836e-10,-0.03154359319359372,-7.919273881405556e-11,-693.8618835938638,0.04591383979315089,0.01309282322338691,-1.0640999488090493e-10,-1.0118542135276221e-10,-3.262177039591316e-10,-0.1929523644210049,-5.888075264471199e-11,-1.862830138029919e-10,4.1972777990718836e-10,-46.246264147378646,-2.3781637281982673e-10,-4.745164820400813e-09,-15860.261511137842,-6.779616055726685e-09,-6.5943606104358894e-09,-5.039066033786129e-10,-2.2257791783687602e-11,-1.7696021126526175e-11,3.911072396989026e-10,-5.384138307322714e-12,-2.735752619597581e-09,-7.301488731190356e-11,0.13905548406077342,2,1,0,1
